Designator,Mid X,Mid Y,Rotation,Layer
RV26,344.3473,-132.8558,90.0,top
RV27,344.3473,-162.8558,90.0,top
RV28,344.35,-194.865,90.0,top
RV3,184.35,-95.0,90.0,top
RV4,196.85,-95.0,90.0,top
RV5,209.35,-95.0,90.0,top
RV6,229.35,-95.0,90.0,top
RV7,241.85,-95.0,90.0,top
RV8,254.35,-95.0,90.0,top
RV9,274.35,-95.0,90.0,top
SW1,184.35,-49.88,0.0,top
SW10,291.8473,-146.9658,0.0,top
SW11,291.8473,-164.4658,0.0,top
SW12,312.1,-58.5,0.0,top
SW13,337.1,-58.5,0.0,top
SW14,324.3473,-164.4658,0.0,top
SW15,324.3473,-129.5,0.0,top
SW16,159.35,-67.38,0.0,top
SW17,171.85,-67.38,0.0,top
SW18,184.35,-67.38,0.0,top
SW19,196.85,-67.38,0.0,top
SW2,209.35,-49.88,0.0,top
SW20,209.35,-67.38,0.0,top
SW3,254.35,-49.88,0.0,top
SW4,254.35,-67.38,0.0,top
SW5,286.85,-49.88,0.0,top
SW6,286.85,-67.38,0.0,top
SW7,179.3473,-129.4658,0.0,top
SW8,161.8473,-129.4658,0.0,top
SW9,291.8473,-129.4658,0.0,top
U1,135.15,-77.7625,90.0,top
U10,214.5875,-168.2,90.0,top
U11,323.6625,-146.75,180.0,top
U2,238.7375,-60.75,180.0,top
U3,132.19,-57.21,270.0,top
U4,112.1,-118.75,90.0,top
U5,112.85,-149.0,90.0,top
U6,68.235,-150.725,0.0,top
U7,68.235,-135.725,0.0,top
U8,68.235,-120.725,0.0,top
U9,68.235,-105.725,0.0,top
